Noise,a0,a1,a2
noise=0%,0.0,0.0,0.0
noise=1.0%,12.991580372115704,10.81485460270601,10.1922431542881
noise=2.0%,36.58340289561552,31.334068662896765,29.865168145522922
noise=3.0%,60.50603372454082,52.159490530136495,49.835926269578
noise=4.0%,79.92553440627192,68.86980927230155,65.7857940202011
noise=5.0%,100.0,85.44392320598858,81.31976089896666
