Library Order,Temperature,1,U,U2,U3,U4,U5
1,35,0.04442139877680109,0.0
1,45,0.16356952705318273,-0.0009885474122507728
1,55,0.2457688414764554,-0.0016132632555669092
1,65,0.36872646485741467,-0.0024850617866083585
1,75,0.48569883031402067,-0.003563041475723782
1,85,0.6171212354775146,-0.004411294115935584
2,35,-0.3273024308558963,0.009425677898715972,-4.843842974090139e-05
2,45,-0.9769459913789188,0.027609393091259333,-0.00014514817434793445
2,55,-1.8264947370504032,0.052441758595698475,-0.00028167174218973084
2,65,-2.136537893159634,0.06382127774374483,-0.00034583136957805794
2,75,-4.438648826395092,0.13148974070824326,-0.0007434990842733461
2,85,-6.166962446656963,0.17801831367338505,-0.0009764318943890596
3,35,-0.06261845254472315,-0.00031446172313563566,5.9962168808761186e-05,-3.7085947060987956e-07
3,45,-0.7833215155137139,0.020410594889185864,-6.433698228257748e-05,-2.794765227071016e-07
3,55,-2.06306539710726,0.06143980583547231,-0.0003846464325816104,3.6293182412516286e-07
3,65,-3.375532937421705,0.11150138259748968,-0.0008916234524749904,1.916245861935748e-06
3,75,-7.244195495210068,0.2421864885439216,-0.0020626724752732593,4.8651191244196385e-06
3,85,-7.633651300637373,0.2347776483454205,-0.0016389457792502292,2.386686159034978e-06
4,35,0.6068571616092525,-0.03332982663791686,0.0006311113321107393,-4.495990141368353e-06,1.0591423911203283e-08
4,45,0.9922641109097148,-0.06744674003275004,0.0014674082650058303,-1.1475717216186912e-05,2.918965430510634e-08
4,55,4.056677084516553,-0.24649252419808465,0.0050655704534859555,-4.0029174379209375e-05,1.0674349724404214e-07
4,65,2.8898716062969623,-0.2119927158720205,0.004958873953255495,-4.219464855176864e-05,1.181389602424516e-07
4,75,3.425723683297833,-0.3147295495418077,0.00821464612422471,-7.495882658390932e-05,2.219329268724323e-07
4,85,9.036122951426332,-0.6216805259654564,0.013904722281758918,-0.00011610025983699008,3.22624852768975e-07
5,35,-1.54933622209717,0.09889948372191595,-0.002455017159662833,2.984485497895961e-05,-1.7233474634280863e-07,3.7496215251132233e-10
5,45,-1.680254236756994,0.09740021546268633,-0.0024216163795863594,3.245168073387985e-05,-2.0914641463514478e-07,4.98956648385132e-10
5,55,-5.968814054513047,0.3794167117049368,-0.009862527934452954,0.0001302765685262117,-8.260938512452959e-07,1.971463614899237e-09
5,65,17.183255545108988,-1.1288604757284566,0.02735754813604777,-0.00030313777825734055,1.5740117242724302e-06,-3.127338454751976e-09
5,75,1.52116429595501,-0.19101269420663397,0.005132240314241474,-3.808776306101095e-05,9.500753888481041e-09,4.73463496190077e-10
5,85,20.983046070764527,-1.3870562261687376,0.0326939917400643,-0.00033722537080371924,1.5740265769076923e-06,-2.7352731749576413e-09
